Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","10","Australia","512","Total Population - Male","3010","Population - Est. & Proj.","1967","1967","1000 persons","5984.991","X","International reliable sources",""
"OA","Annual population","10","Australia","513","Total Population - Female","3010","Population - Est. & Proj.","1967","1967","1000 persons","5914.653","X","International reliable sources",""
"OA","Annual population","10","Australia","551","Rural population","3010","Population - Est. & Proj.","1967","1967","1000 persons","1970.805","X","International reliable sources",""
"OA","Annual population","10","Australia","561","Urban population","3010","Population - Est. & Proj.","1967","1967","1000 persons","9978.552","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","10","Australia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1968","1968","1000 persons","12215.701","X","International reliable sources",""
"OA","Annual population","10","Australia","512","Total Population - Male","3010","Population - Est. & Proj.","1968","1968","1000 persons","6142.17","X","International reliable sources",""
"OA","Annual population","10","Australia","513","Total Population - Female","3010","Population - Est. & Proj.","1968","1968","1000 persons","6073.534","X","International reliable sources",""
"OA","Annual population","10","Australia","551","Rural population","3010","Population - Est. & Proj.","1968","1968","1000 persons","2002.585","X","International reliable sources",""
"OA","Annual population","10","Australia","561","Urban population","3010","Population - Est. & Proj.","1968","1968","1000 persons","10262.502","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","10","Australia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1969","1969","1000 persons","12518.937","X","International reliable sources",""
"OA","Annual population","10","Australia","512","Total Population - Male","3010","Population - Est. & Proj.","1969","1969","1000 persons","6292.724","X","International reliable sources",""
"OA","Annual population","10","Australia","513","Total Population - Female","3010","Population - Est. & Proj.","1969","1969","1000 persons","6226.207","X","International reliable sources",""
"OA","Annual population","10","Australia","551","Rural population","3010","Population - Est. & Proj.","1969","1969","1000 persons","2031.523","X","International reliable sources",""
"OA","Annual population","10","Australia","561","Urban population","3010","Population - Est. & Proj.","1969","1969","1000 persons","10536.777","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","10","Australia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1970","1970","1000 persons","12793.034","X","International reliable sources",""
"OA","Annual population","10","Australia","512","Total Population - Male","3010","Population - Est. & Proj.","1970","1970","1000 persons","6428.197","X","International reliable sources",""
"OA","Annual population","10","Australia","513","Total Population - Female","3010","Population - Est. & Proj.","1970","1970","1000 persons","6364.833","X","International reliable sources",""
"OA","Annual population","10","Australia","551","Rural population","3010","Population - Est. & Proj.","1970","1970","1000 persons","2055.033","X","International reliable sources",""
"OA","Annual population","10","Australia","561","Urban population","3010","Population - Est. & Proj.","1970","1970","1000 persons","10787.874","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","10","Australia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1971","1971","1000 persons","13033.133","X","International reliable sources",""
