Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","674","Protein supply quantity (g/capita/day)","2948","Milk - Excluding Butter","1974","1974","g/capita/day","19.63","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","674","Protein supply quantity (g/capita/day)","2948","Milk - Excluding Butter","1975","1975","g/capita/day","19.77","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","674","Protein supply quantity (g/capita/day)","2948","Milk - Excluding Butter","1976","1976","g/capita/day","19.42","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","674","Protein supply quantity (g/capita/day)","2948","Milk - Excluding Butter","1977","1977","g/capita/day","17.64","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","674","Protein supply quantity (g/capita/day)","2948","Milk - Excluding Butter","1978","1978","g/capita/day","16.97","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","674","Protein supply quantity (g/capita/day)","2948","Milk - Excluding Butter","1979","1979","g/capita/day","18.2","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","674","Protein supply quantity (g/capita/day)","2948","Milk - Excluding Butter","1980","1980","g/capita/day","18.03","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","674","Protein supply quantity (g/capita/day)","2948","Milk - Excluding Butter","1981","1981","g/capita/day","18.29","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","674","Protein supply quantity (g/capita/day)","2948","Milk - Excluding Butter","1982","1982","g/capita/day","19.13","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","674","Protein supply quantity (g/capita/day)","2948","Milk - Excluding Butter","1983","1983","g/capita/day","19.77","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","674","Protein supply quantity (g/capita/day)","2948","Milk - Excluding Butter","1984","1984","g/capita/day","19.75","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","674","Protein supply quantity (g/capita/day)","2948","Milk - Excluding Butter","1985","1985","g/capita/day","19.15","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","674","Protein supply quantity (g/capita/day)","2948","Milk - Excluding Butter","1986","1986","g/capita/day","19.37","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","674","Protein supply quantity (g/capita/day)","2948","Milk - Excluding Butter","1987","1987","g/capita/day","19.3","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","674","Protein supply quantity (g/capita/day)","2948","Milk - Excluding Butter","1988","1988","g/capita/day","19.91","Fc","Calculated data"
